"NCBI_ID","Genome_ID","Accession_ID","Taxon_name","Attribute","Attribute_value","Attribute_source","Evidence","Frequency","Confidence_in_curation","Rank","Parent_name","Parent_NCBI_ID","Parent_rank"
76728,NA,NA,"Streptomyces vitaminophilus","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Streptomyces",1883,"genus"
83656,NA,NA,"Streptomyces tsukubaensis","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Streptomyces",1883,"genus"
291968,NA,NA,"Acaricomes phytoseiuli","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Acaricomes",291967,"genus"
1038928,NA,NA,"Streptomyces xinghaiensis","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Streptomyces",1883,"genus"
1073330,NA,NA,"Streptomyces zinciresistens","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Streptomyces",1883,"genus"
45462,NA,NA,"Brevibacillus borstelensis","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Brevibacillus",55080,"genus"
68280,NA,NA,"Streptomyces violaceusniger","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Streptomyces",1883,"genus"
285530,NA,NA,"Streptomyces sviceus","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Streptomyces",1883,"genus"
146919,NA,NA,"Salinibacter ruber","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Salinibacter",146918,"genus"
916,NA,NA,"Nitrosomonas eutropha","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Nitrosomonas",914,"genus"
332055,NA,NA,"Sphingobium indicum","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Sphingobium",165695,"genus"
67780,NA,NA,"Edwardsiella ictaluri","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Edwardsiella",635,"genus"
28077,NA,NA,"Azospirillum amazonense","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Nitrospirillum",1543705,"genus"
551760,NA,NA,"Aromatoleum aromaticum","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Aromatoleum",551759,"genus"
68909,NA,NA,"Deinococcus geothermalis","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Deinococcus",1298,"genus"
314344,NA,NA,"Mariprofundus ferrooxydans","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Mariprofundus",377315,"genus"
334543,NA,NA,"Psychrobacter arcticus","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Psychrobacter",497,"genus"
667126,NA,NA,"Methanocaldococcus villosus","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Methanocaldococcus",196118,"genus"
