"NCBI_ID","Genome_ID","Accession_ID","Taxon_name","Attribute","Attribute_value","Attribute_source","Evidence","Frequency","Rank","Parent_name","Parent_NCBI_ID","Parent_rank","Confidence_in_curation"
254408,NA,NA,"Singularimonas variicoloris","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Solimonas",413435,"genus","Low"
138074,NA,NA,"Serratia symbiotica","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Serratia",613,"genus","Low"
483937,NA,NA,"Paenibacillus riograndensis","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Paenibacillus",44249,"genus","Low"
2290,NA,NA,"Desulfobacter curvatus","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Desulfobacter",2289,"genus","Low"
293,NA,NA,"Brevundimonas diminuta","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Brevundimonas",41275,"genus","Low"
979,NA,NA,"Cellulophaga lytica","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Cellulophaga",104264,"genus","Low"
487,NA,NA,"Neisseria meningitidis","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Neisseria",482,"genus","Low"
63363,NA,NA,"Aquifex aeolicus","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Aquifex",2713,"genus","Low"
482957,NA,NA,"Burkholderia lata","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Burkholderia",32008,"genus","Low"
550,NA,NA,"Enterobacter cloacae","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Enterobacter",547,"genus","Low"
636,NA,NA,"Edwardsiella tarda","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Edwardsiella",635,"genus","Low"
1076,NA,NA,"Rhodopseudomonas palustris","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Rhodopseudomonas",1073,"genus","Low"
191389,NA,NA,"Leifsonia rubra","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Leifsonia",110932,"genus","Low"
1288027,NA,NA,"Arcticibacter svalbardensis","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Arcticibacter",1288026,"genus","Low"
752140,NA,NA,"Pedobacter arcticus","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Pedobacter",84567,"genus","Low"
498301,NA,NA,"Flavobacterium rivuli","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Flavobacterium",237,"genus","Low"
398037,NA,NA,"Segetibacter koreensis","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Segetibacter",460073,"genus","Low"
79329,NA,NA,"Chitinophaga pinensis","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Chitinophaga",79328,"genus","Low"
252970,NA,NA,"Burkholderia phenoliruptrix","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Paraburkholderia",1822464,"genus","Low"
467094,NA,NA,"Ilumatobacter coccoidneus","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Ilumatobacter",682522,"genus","Low"
70995,NA,NA,"Lewinella cohaerens","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Lewinella",70994,"genus","Low"
70998,NA,NA,"Lewinella persica","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Lewinella",70994,"genus","Low"
454586,NA,NA,"Pedobacter agri","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Pedobacter",84567,"genus","Low"
431553,NA,NA,"Spirosoma luteum","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Spirosoma",107,"genus","Low"
431554,NA,NA,"Spirosoma spitsbergense","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Spirosoma",107,"genus","Low"
53461,NA,NA,"Nakamurella multipartita","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Nakamurella",53460,"genus","Low"
101689,NA,NA,"Tetrasphaera elongata","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Phycicoccus",367298,"genus","Low"
2296,NA,NA,"Desulfobacterium autotrophicum","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Desulforapulum",2904687,"genus","Low"
1131703,NA,NA,"Sphaerochaeta globosa","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Sphaerochaeta",399320,"genus","Low"
541095,NA,NA,"Corynebacterium lubricantis","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Corynebacterium",1716,"genus","Low"
94254,NA,NA,"Dyadobacter fermentans","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Dyadobacter",120831,"genus","Low"
1341165,NA,NA,"Flavobacterium enshiense","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Flavobacterium",237,"genus","Low"
632569,NA,NA,"Saccharomonospora marina","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Saccharomonospora",1851,"genus","Low"
36821,NA,NA,"Gordonia amarae","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Gordonia",2053,"genus","Low"
746032,NA,NA,"Mobilicoccus pelagius","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Mobilicoccus",984996,"genus","Low"
182640,NA,NA,"Kribbella flavida","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Kribbella",182639,"genus","Low"
70993,NA,NA,"Flexithrix dorotheae","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Flexithrix",70992,"genus","Low"
221066,NA,NA,"Kordia algicida","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Kordia",221065,"genus","Low"
451374,NA,NA,"Rudanella lutea","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Rudanella",451373,"genus","Low"
404386,NA,NA,"FALSEnomuraea coxensis","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Nonomuraea",83681,"genus","Low"
665550,NA,NA,"Dietzia alimentaria","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Dietzia",37914,"genus","Low"
758826,NA,NA,"Acidovorax radicis","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Acidovorax",12916,"genus","Low"
37919,NA,NA,"Rhodococcus imtechensis","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Rhodococcus",1827,"genus","Low"
111564,NA,NA,"Kineosphaera limosa","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Kineosphaera",211469,"genus","Low"
186189,NA,NA,"Xylanimonas cellulosilytica","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Xylanimonas",186188,"genus","Low"
427754,NA,NA,"Humibacter albus","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Humibacter",427753,"genus","Low"
1711,NA,NA,"Cellulomonas flavigena","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Cellulomonas",1707,"genus","Low"
1078471,NA,NA,"Serinicoccus profundi","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Serinicoccus",265976,"genus","Low"
661979,NA,NA,"Brachybacterium squillarum","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Brachybacterium",43668,"genus","Low"
381445,NA,NA,"Amycolatopsis nigrescens","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Amycolatopsis",1813,"genus","Low"
310298,NA,NA,"Bacteroides coprocola","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Phocaeicola",909656,"genus","Low"
147206,NA,NA,"Collinsella stercoris","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Collinsella",102106,"genus","Low"
189691,NA,NA,"Paenibacillus elgii","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Paenibacillus",44249,"genus","Low"
471825,NA,NA,"Haloplasma contractile","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Haloplasma",471824,"genus","Low"
